YEAR,MONTH,DAY,HOUR,PRCP,,,,
2013,5,24,19,1,,,,
2013,5,24,22,0,,,,
2013,5,24,23,1,,,,
2013,5,25,0,4,,,,
2013,5,25,1,3,,,,
2013,5,25,5,0,,,,
2013,5,25,6,2,,,,
2013,5,25,7,4,,,,
2013,5,25,8,1,,,,
2013,5,25,9,0,,,,
2013,5,25,11,1,,,,
2013,5,25,12,0,,,,
2013,5,25,14,0,,,,
2013,5,25,15,0,,,,
2013,5,25,16,0,,,,
2013,5,25,17,3,,,,
2013,5,28,11,1,,,,
2013,5,28,12,3,,,,
2013,5,28,13,3,,,,
2013,5,28,14,4,,,,
2013,5,28,15,18,,,,
2013,5,28,16,17,,,,
2013,5,28,17,0,,,,
2013,5,28,18,5,,,,
2013,5,28,19,1,,,,
2013,6,1,1,0,,,,
2013,6,2,22,2,,,,
2013,6,2,23,71,,,,
2013,6,3,0,12,,,,
2013,6,3,1,0,,,,
2013,6,3,2,3,,,,
2013,6,3,3,4,,,,
2013,6,3,4,1,,,,
2013,6,3,6,0,,,,
2013,6,3,7,10,,,,
2013,6,3,8,2,,,,
2013,6,3,9,15,,,,
2013,6,3,10,0,,,,
2013,6,3,17,52,,,,
2013,6,6,18,0,,,,
2013,6,6,19,0,,,,
2013,6,6,20,1,,,,
2013,6,6,21,2,,,,
2013,6,6,22,3,,,,
2013,6,6,23,4,,,,
2013,6,7,0,3,,,,
2013,6,7,1,2,,,,
2013,6,7,2,2,,,,
2013,6,7,3,7,,,,
2013,6,7,4,28,,,,
2013,6,7,5,21,,,,
2013,6,7,6,8,,,,
2013,6,7,7,16,,,,
2013,6,7,8,10,,,,
2013,6,7,9,11,,,,
2013,6,7,10,7,,,,
2013,6,7,11,9,,,,
2013,6,7,12,16,,,,
2013,6,7,13,16,,,,
2013,6,7,14,13,,,,
2013,6,7,15,11,,,,
2013,6,7,16,16,,,,
2013,6,7,17,9,,,,
2013,6,7,18,13,,,,
2013,6,7,19,32,,,,
2013,6,7,20,31,,,,
2013,6,7,21,46,,,,
2013,6,7,22,54,,,,
2013,6,7,23,13,,,,
2013,6,8,0,25,,,,
2013,6,8,1,39,,,,
2013,6,8,2,9,,,,
2013,6,10,9,0,,,,
2013,6,10,10,2,,,,
2013,6,10,11,23,,,,
2013,6,10,12,14,,,,
2013,6,10,13,14,,,,
2013,6,10,14,4,,,,
2013,6,10,15,4,,,,
2013,6,10,16,16,,,,
2013,6,10,17,4,,,,
2013,6,10,18,9,,,,
2013,6,10,19,10,,,,
2013,6,10,20,12,,,,
2013,6,10,21,6,,,,
2013,6,10,23,16,,,,
2013,6,11,0,4,,,,
2013,6,11,1,1,,,,
2013,6,11,2,3,,,,
2013,6,11,3,5,,,,
2013,6,11,14,0,,,,
2013,6,11,15,0,,,,
2013,6,11,18,0,,,,
2013,6,11,19,0,,,,
2013,6,13,7,0,,,,
2013,6,13,8,3,,,,
2013,6,13,9,4,,,,
2013,6,13,10,6,,,,
2013,6,13,11,46,,,,
2013,6,13,19,10,,,,
2013,6,13,20,24,,,,
2013,6,13,21,10,,,,
2013,6,13,22,8,,,,
2013,6,13,23,5,,,,
2013,6,14,0,10,,,,
2013,6,14,1,22,,,,
2013,6,14,2,7,,,,
2013,6,14,3,2,,,,
2013,6,14,4,1,,,,
2013,6,14,17,6,,,,
2013,6,17,15,1,,,,
2013,6,18,16,2,,,,
2013,6,18,17,6,,,,
2013,6,18,18,8,,,,
2013,6,18,19,2,,,,
